Date,Region,Cases,Deaths
2020-03-16,MS,2,0
2020-03-17,MS,4,0
2020-03-18,MS,7,0
2020-03-19,MS,7,0
2020-03-20,MS,9,0
2020-03-21,MS,16,0
2020-03-22,MS,21,0
2020-03-23,MS,21,0
2020-03-24,MS,23,0
2020-03-25,MS,24,0
2020-03-26,MS,25,0
2020-03-27,MS,28,0
2020-03-28,MS,31,0
2020-03-29,MS,36,0
2020-03-30,MS,44,0
2020-03-31,MS,48,1
2020-04-01,MS,51,1
2020-04-02,MS,53,1
2020-04-03,MS,60,1
2020-04-04,MS,62,1
2020-04-05,MS,65,1
2020-04-06,MS,66,1
2020-04-07,MS,80,2
2020-04-08,MS,85,2
2020-04-09,MS,89,2
2020-04-10,MS,97,2
2020-04-11,MS,100,2
2020-04-12,MS,101,2
2020-04-13,MS,113,4
2020-04-14,MS,115,4
2020-04-15,MS,121,4
2020-04-16,MS,131,5
2020-04-17,MS,143,5
2020-04-18,MS,161,5
2020-04-19,MS,168,5
2020-04-20,MS,171,5
2020-04-21,MS,173,6
2020-04-22,MS,175,6
2020-04-23,MS,186,7
2020-04-24,MS,213,7
2020-04-25,MS,217,7
2020-04-26,MS,234,7
2020-04-27,MS,238,9
2020-04-28,MS,240,9
2020-04-29,MS,249,9
2020-04-30,MS,255,9
2020-05-01,MS,261,9
2020-05-02,MS,266,9
2020-05-03,MS,272,10
2020-05-04,MS,274,10
2020-05-05,MS,283,10
2020-05-06,MS,288,10
2020-05-07,MS,311,10
2020-05-08,MS,326,11
2020-05-09,MS,346,11
2020-05-10,MS,362,11
2020-05-11,MS,385,11
2020-05-12,MS,405,12
2020-03-20,MT,1,0
2020-03-21,MT,2,0
2020-03-22,MT,2,0
2020-03-23,MT,2,0
2020-03-24,MT,7,0
2020-03-25,MT,8,0
2020-03-26,MT,11,0
2020-03-27,MT,11,0
2020-03-28,MT,13,0
2020-03-29,MT,16,0
2020-03-30,MT,18,0
2020-03-31,MT,25,0
2020-04-01,MT,27,0
2020-04-02,MT,36,0
2020-04-03,MT,44,1
2020-04-04,MT,56,1
2020-04-05,MT,60,1
2020-04-06,MT,76,1
2020-04-07,MT,78,1
2020-04-08,MT,90,1
2020-04-09,MT,108,2
2020-04-10,MT,112,2
2020-04-11,MT,121,3
2020-04-12,MT,123,3
2020-04-13,MT,134,4
2020-04-14,MT,138,4
2020-04-15,MT,151,4
2020-04-16,MT,156,5
2020-04-17,MT,162,5
2020-04-18,MT,171,5
2020-04-19,MT,174,5
2020-04-20,MT,181,6
2020-04-21,MT,181,6
2020-04-22,MT,183,6
2020-04-23,MT,221,7
2020-04-24,MT,240,8
2020-04-25,MT,247,9
2020-04-26,MT,250,9
2020-04-27,MT,257,10
2020-04-28,MT,261,11
2020-04-29,MT,292,11
2020-04-30,MT,297,11
2020-05-01,MT,320,11
2020-05-02,MT,331,12
2020-05-03,MT,337,12
2020-05-04,MT,344,13
2020-05-05,MT,365,13
2020-05-06,MT,379,13
2020-05-07,MT,417,13
2020-05-08,MT,457,14
2020-05-09,MT,502,16
2020-05-10,MT,519,18
2020-05-11,MT,541,19
2020-05-12,MT,591,19
2020-03-13,GO,3,0
2020-03-14,GO,3,0
2020-03-15,GO,3,0
2020-03-16,GO,3,0
2020-03-17,GO,6,0
2020-03-18,GO,8,0
2020-03-19,GO,12,0
2020-03-20,GO,15,0
2020-03-21,GO,20,0
2020-03-22,GO,21,0
2020-03-23,GO,23,0
2020-03-24,GO,27,0
2020-03-25,GO,29,0
2020-03-26,GO,39,1
2020-03-27,GO,49,1
2020-03-28,GO,56,1
2020-03-29,GO,58,1
2020-03-30,GO,61,1
2020-03-31,GO,65,1
2020-04-01,GO,71,1
2020-04-02,GO,73,1
2020-04-03,GO,88,2
2020-04-04,GO,103,2
2020-04-05,GO,115,3
2020-04-06,GO,119,5
2020-04-07,GO,133,5
2020-04-08,GO,158,7
2020-04-09,GO,179,7
2020-04-10,GO,191,8
2020-04-11,GO,209,10
2020-04-12,GO,229,14
2020-04-13,GO,233,15
2020-04-14,GO,284,15
2020-04-15,GO,304,15
2020-04-16,GO,318,16
2020-04-17,GO,335,16
2020-04-18,GO,378,18
2020-04-19,GO,393,18
2020-04-20,GO,403,19
2020-04-21,GO,421,19
2020-04-22,GO,438,21
2020-04-23,GO,453,23
2020-04-24,GO,486,24
2020-04-25,GO,506,25
2020-04-26,GO,573,25
2020-04-27,GO,616,26
2020-04-28,GO,661,27
2020-04-29,GO,705,27
2020-04-30,GO,781,29
2020-05-01,GO,808,29
2020-05-02,GO,825,30
2020-05-03,GO,850,30
2020-05-04,GO,861,30
2020-05-05,GO,922,38
2020-05-06,GO,1024,44
2020-05-07,GO,1027,44
2020-05-08,GO,1053,49
2020-05-09,GO,1069,47
2020-05-10,GO,1093,47
2020-05-11,GO,1100,49
2020-05-12,GO,1115,52
2020-03-07,DF,1,0
2020-03-08,DF,1,0
2020-03-09,DF,1,0
2020-03-10,DF,1,0
2020-03-11,DF,2,0
2020-03-12,DF,2,0
2020-03-13,DF,2,0
2020-03-14,DF,6,0
2020-03-15,DF,8,0
2020-03-16,DF,13,0
2020-03-17,DF,22,0
2020-03-18,DF,26,0
2020-03-19,DF,42,0
2020-03-20,DF,87,0
2020-03-21,DF,100,0
2020-03-22,DF,117,0
2020-03-23,DF,133,0
2020-03-24,DF,160,0
2020-03-25,DF,160,0
2020-03-26,DF,200,0
2020-03-27,DF,230,0
2020-03-28,DF,260,0
2020-03-29,DF,289,1
2020-03-30,DF,312,1
2020-03-31,DF,332,3
2020-04-01,DF,355,3
2020-04-02,DF,370,4
2020-04-03,DF,402,5
2020-04-04,DF,454,7
2020-04-05,DF,468,7
2020-04-06,DF,473,10
2020-04-07,DF,492,12
2020-04-08,DF,509,12
2020-04-09,DF,527,13
2020-04-10,DF,555,14
2020-04-11,DF,579,14
2020-04-12,DF,614,14
2020-04-13,DF,638,15
2020-04-14,DF,651,17
2020-04-15,DF,682,17
2020-04-16,DF,716,20
2020-04-17,DF,746,20
2020-04-18,DF,762,24
2020-04-19,DF,827,24
2020-04-20,DF,872,24
2020-04-21,DF,881,24
2020-04-22,DF,946,25
2020-04-23,DF,963,25
2020-04-24,DF,989,26
2020-04-25,DF,1013,26
2020-04-26,DF,1066,27
2020-04-27,DF,1146,27
2020-04-28,DF,1213,28
2020-04-29,DF,1275,28
2020-04-30,DF,1356,30
2020-05-01,DF,1466,30
2020-05-02,DF,1566,31
2020-05-03,DF,1649,33
2020-05-04,DF,1768,33
2020-05-05,DF,1818,33
2020-05-06,DF,1906,34
2020-05-07,DF,2258,35
2020-05-08,DF,2442,37
2020-05-09,DF,2576,39
2020-05-10,DF,2682,42
2020-05-11,DF,2783,44
2020-05-12,DF,2979,46
2020-03-21,MA,1,0
2020-03-22,MA,2,0
2020-03-23,MA,2,0
2020-03-24,MA,8,0
2020-03-25,MA,8,0
2020-03-26,MA,10,0
2020-03-27,MA,13,0
2020-03-28,MA,14,0
2020-03-29,MA,16,0
2020-03-30,MA,23,1
2020-03-31,MA,31,1
2020-04-01,MA,52,1
2020-04-02,MA,71,1
2020-04-03,MA,81,1
2020-04-04,MA,88,1
2020-04-05,MA,96,2
2020-04-06,MA,133,2
2020-04-07,MA,172,4
2020-04-08,MA,230,11
2020-04-09,MA,273,12
2020-04-10,MA,293,16
2020-04-11,MA,344,21
2020-04-12,MA,398,24
2020-04-13,MA,445,27
2020-04-14,MA,478,32
2020-04-15,MA,630,34
2020-04-16,MA,695,37
2020-04-17,MA,797,40
2020-04-18,MA,1040,44
2020-04-19,MA,1205,48
2020-04-20,MA,1320,54
2020-04-21,MA,1396,60
2020-04-22,MA,1604,66
2020-04-23,MA,1757,76
2020-04-24,MA,1951,88
2020-04-25,MA,2105,100
2020-04-26,MA,2223,112
2020-04-27,MA,2410,125
2020-04-28,MA,2528,145
2020-04-29,MA,2804,166
2020-04-30,MA,3190,184
2020-05-01,MA,3506,204
2020-05-02,MA,3805,224
2020-05-03,MA,4040,237
2020-05-04,MA,4227,249
2020-05-05,MA,4530,271
2020-05-06,MA,5028,291
2020-05-07,MA,5389,305
2020-05-08,MA,5909,330
2020-05-09,MA,6765,355
2020-05-10,MA,7599,379
2020-05-11,MA,8144,399
2020-05-12,MA,8526,423
2020-03-20,PI,3,0
2020-03-21,PI,4,0
2020-03-22,PI,4,0
2020-03-23,PI,6,0
2020-03-24,PI,6,0
2020-03-25,PI,8,0
2020-03-26,PI,9,0
2020-03-27,PI,9,0
2020-03-28,PI,11,1
2020-03-29,PI,14,1
2020-03-30,PI,16,3
2020-03-31,PI,18,4
2020-04-01,PI,18,4
2020-04-02,PI,19,4
2020-04-03,PI,21,4
2020-04-04,PI,22,4
2020-04-05,PI,23,4
2020-04-06,PI,23,4
2020-04-07,PI,28,4
2020-04-08,PI,31,5
2020-04-09,PI,38,6
2020-04-10,PI,40,7
2020-04-11,PI,41,7
2020-04-12,PI,44,7
2020-04-13,PI,50,8
2020-04-14,PI,58,8
2020-04-15,PI,75,8
2020-04-16,PI,91,8
2020-04-17,PI,102,8
2020-04-18,PI,123,9
2020-04-19,PI,145,10
2020-04-20,PI,158,12
2020-04-21,PI,186,14
2020-04-22,PI,206,15
2020-04-23,PI,217,15
2020-04-24,PI,256,16
2020-04-25,PI,297,17
2020-04-26,PI,331,18
2020-04-27,PI,364,20
2020-04-28,PI,408,21
2020-04-29,PI,454,24
2020-04-30,PI,513,24
2020-05-01,PI,600,24
2020-05-02,PI,665,26
2020-05-03,PI,742,28
2020-05-04,PI,784,28
2020-05-05,PI,875,29
2020-05-06,PI,949,30
2020-05-07,PI,1051,35
2020-05-08,PI,1131,37
2020-05-09,PI,1233,38
2020-05-10,PI,1278,42
2020-05-11,PI,1332,45
2020-05-12,PI,1443,49
2020-03-17,CE,5,0
2020-03-18,CE,9,0
2020-03-19,CE,20,0
2020-03-20,CE,55,0
2020-03-21,CE,68,0
2020-03-22,CE,112,0
2020-03-23,CE,163,0
2020-03-24,CE,182,0
2020-03-25,CE,200,0
2020-03-26,CE,235,3
2020-03-27,CE,282,3
2020-03-28,CE,314,4
2020-03-29,CE,348,5
2020-03-30,CE,372,5
2020-03-31,CE,390,7
2020-04-01,CE,444,8
2020-04-02,CE,550,20
2020-04-03,CE,627,22
2020-04-04,CE,730,22
2020-04-05,CE,823,26
2020-04-06,CE,1013,29
2020-04-07,CE,1051,31
2020-04-08,CE,1291,43
2020-04-09,CE,1425,55
2020-04-10,CE,1478,58
2020-04-11,CE,1582,67
2020-04-12,CE,1676,74
2020-04-13,CE,1800,91
2020-04-14,CE,2005,107
2020-04-15,CE,2157,116
2020-04-16,CE,2386,124
2020-04-17,CE,2684,149
2020-04-18,CE,3034,176
2020-04-19,CE,3252,186
2020-04-20,CE,3482,198
2020-04-21,CE,3716,215
2020-04-22,CE,3910,233
2020-04-23,CE,4598,266
2020-04-24,CE,4800,284
2020-04-25,CE,5421,310
2020-04-26,CE,5833,327
2020-04-27,CE,6726,390
2020-04-28,CE,6918,403
2020-04-29,CE,7267,441
2020-04-30,CE,7606,482
2020-05-01,CE,7879,505
2020-05-02,CE,8231,614
2020-05-03,CE,8370,663
2020-05-04,CE,11040,712
2020-05-05,CE,11470,795
2020-05-06,CE,12304,848
2020-05-07,CE,13888,903
2020-05-08,CE,14956,966
2020-05-09,CE,15879,1062
2020-05-10,CE,16692,1114
2020-05-11,CE,17599,1189
2020-05-12,CE,18412,1280
2020-03-13,RN,1,0
2020-03-14,RN,1,0
2020-03-15,RN,1,0
2020-03-16,RN,1,0
2020-03-17,RN,1,0
2020-03-18,RN,1,0
2020-03-19,RN,1,0
2020-03-20,RN,1,0
2020-03-21,RN,6,0
2020-03-22,RN,9,0
2020-03-23,RN,13,0
2020-03-24,RN,13,0
2020-03-25,RN,14,0
2020-03-26,RN,19,0
2020-03-27,RN,28,0
2020-03-28,RN,45,0
2020-03-29,RN,68,1
2020-03-30,RN,77,1
2020-03-31,RN,82,1
2020-04-01,RN,92,2
2020-04-02,RN,105,2
2020-04-03,RN,176,4
2020-04-04,RN,212,5
2020-04-05,RN,242,7
2020-04-06,RN,246,7
2020-04-07,RN,254,8
2020-04-08,RN,261,11
2020-04-09,RN,261,11
2020-04-10,RN,263,11
2020-04-11,RN,289,13
2020-04-12,RN,302,15
2020-04-13,RN,339,17
2020-04-14,RN,376,18
2020-04-15,RN,399,19
2020-04-16,RN,400,20
2020-04-17,RN,463,23
2020-04-18,RN,516,24
2020-04-19,RN,531,25
2020-04-20,RN,595,27
2020-04-21,RN,608,28
2020-04-22,RN,646,29
2020-04-23,RN,708,34
2020-04-24,RN,754,38
2020-04-25,RN,781,40
2020-04-26,RN,825,44
2020-04-27,RN,832,45
2020-04-28,RN,857,48
2020-04-29,RN,1086,53
2020-04-30,RN,1177,56
2020-05-01,RN,1297,56
2020-05-02,RN,1366,59
2020-05-03,RN,1392,61
2020-05-04,RN,1421,62
2020-05-05,RN,1536,68
2020-05-06,RN,1574,72
2020-05-07,RN,1739,76
2020-05-08,RN,1821,81
2020-05-09,RN,1919,87
2020-05-10,RN,1928,88
2020-05-11,RN,1989,92
2020-05-12,RN,2033,93
2020-03-19,PB,1,0
2020-03-20,PB,1,0
2020-03-21,PB,1,0
2020-03-22,PB,1,0
2020-03-23,PB,2,0
2020-03-24,PB,3,0
2020-03-25,PB,3,0
2020-03-26,PB,5,0
2020-03-27,PB,9,0
2020-03-28,PB,14,0
2020-03-29,PB,14,0
2020-03-30,PB,15,0
2020-03-31,PB,17,0
2020-04-01,PB,20,1
2020-04-02,PB,21,1
2020-04-03,PB,29,1
2020-04-04,PB,32,2
2020-04-05,PB,34,4
2020-04-06,PB,35,4
2020-04-07,PB,36,4
2020-04-08,PB,41,4
2020-04-09,PB,55,7
2020-04-10,PB,79,11
2020-04-11,PB,85,11
2020-04-12,PB,101,13
2020-04-13,PB,111,13
2020-04-14,PB,136,16
2020-04-15,PB,151,21
2020-04-16,PB,165,24
2020-04-17,PB,195,26
2020-04-18,PB,205,26
2020-04-19,PB,236,29
2020-04-20,PB,245,32
2020-04-21,PB,263,33
2020-04-22,PB,301,39
2020-04-23,PB,345,40
2020-04-24,PB,386,44
2020-04-25,PB,447,46
2020-04-26,PB,499,49
2020-04-27,PB,543,50
2020-04-28,PB,633,53
2020-04-29,PB,699,58
2020-04-30,PB,814,62
2020-05-01,PB,926,67
2020-05-02,PB,1034,74
2020-05-03,PB,1169,76
2020-05-04,PB,1219,79
2020-05-05,PB,1361,85
2020-05-06,PB,1493,92
2020-05-07,PB,1657,101
2020-05-08,PB,2031,114
2020-05-09,PB,2156,124
2020-05-10,PB,2341,135
2020-05-11,PB,2525,139
2020-05-12,PB,2777,154
2020-03-12,PE,2,0
2020-03-13,PE,2,0
2020-03-14,PE,2,0
2020-03-15,PE,2,0
2020-03-16,PE,2,0
2020-03-17,PE,16,0
2020-03-18,PE,16,0
2020-03-19,PE,28,0
2020-03-20,PE,30,0
2020-03-21,PE,30,0
2020-03-22,PE,37,0
2020-03-23,PE,42,0
2020-03-24,PE,42,0
2020-03-25,PE,46,1
2020-03-26,PE,48,3
2020-03-27,PE,56,4
2020-03-28,PE,68,5
2020-03-29,PE,73,5
2020-03-30,PE,78,6
2020-03-31,PE,87,6
2020-04-01,PE,95,8
2020-04-02,PE,106,9
2020-04-03,PE,136,10
2020-04-04,PE,176,14
2020-04-05,PE,201,21
2020-04-06,PE,223,30
2020-04-07,PE,352,34
2020-04-08,PE,401,46
2020-04-09,PE,555,56
2020-04-10,PE,684,65
2020-04-11,PE,816,72
2020-04-12,PE,960,85
2020-04-13,PE,1154,102
2020-04-14,PE,1284,115
2020-04-15,PE,1484,143
2020-04-16,PE,1683,160
2020-04-17,PE,2006,186
2020-04-18,PE,2193,205
2020-04-19,PE,2459,216
2020-04-20,PE,2690,234
2020-04-21,PE,2908,260
2020-04-22,PE,3298,282
2020-04-23,PE,3519,312
2020-04-24,PE,3999,352
2020-04-25,PE,4507,381
2020-04-26,PE,4898,415
2020-04-27,PE,5358,450
2020-04-28,PE,5724,508
2020-04-29,PE,6194,538
2020-04-30,PE,6876,565
2020-05-01,PE,7334,603
2020-05-02,PE,8145,628
2020-05-03,PE,8643,652
2020-05-04,PE,8863,691
2020-05-05,PE,9325,749
2020-05-06,PE,9881,803
2020-05-07,PE,10824,845
2020-05-08,PE,11587,927
2020-05-09,PE,12470,972
2020-05-10,PE,13275,1047
2020-05-11,PE,13768,1087
2020-05-12,PE,14309,1157
2020-03-08,AL,1,0
2020-03-09,AL,1,0
2020-03-10,AL,1,0
2020-03-11,AL,1,0
2020-03-12,AL,1,0
2020-03-13,AL,1,0
2020-03-14,AL,1,0
2020-03-15,AL,1,0
2020-03-16,AL,1,0
2020-03-17,AL,1,0
2020-03-18,AL,1,0
2020-03-19,AL,4,0
2020-03-20,AL,5,0
2020-03-21,AL,7,0
2020-03-22,AL,7,0
2020-03-23,AL,7,0
2020-03-24,AL,9,0
2020-03-25,AL,11,0
2020-03-26,AL,11,0
2020-03-27,AL,11,0
2020-03-28,AL,14,0
2020-03-29,AL,17,0
2020-03-30,AL,17,0
2020-03-31,AL,18,1
2020-04-01,AL,18,1
2020-04-02,AL,18,1
2020-04-03,AL,22,2
2020-04-04,AL,23,2
2020-04-05,AL,28,2
2020-04-06,AL,31,2
2020-04-07,AL,32,2
2020-04-08,AL,37,2
2020-04-09,AL,37,3
2020-04-10,AL,45,3
2020-04-11,AL,48,3
2020-04-12,AL,48,3
2020-04-13,AL,50,3
2020-04-14,AL,72,4
2020-04-15,AL,82,5
2020-04-16,AL,89,5
2020-04-17,AL,110,7
2020-04-18,AL,132,7
2020-04-19,AL,159,15
2020-04-20,AL,171,18
2020-04-21,AL,210,19
2020-04-22,AL,243,20
2020-04-23,AL,324,22
2020-04-24,AL,413,27
2020-04-25,AL,501,29
2020-04-26,AL,554,32
2020-04-27,AL,643,34
2020-04-28,AL,777,36
2020-04-29,AL,957,41
2020-04-30,AL,1044,47
2020-05-01,AL,1226,53
2020-05-02,AL,1372,58
2020-05-03,AL,1441,64
2020-05-04,AL,1538,72
2020-05-05,AL,1606,80
2020-05-06,AL,1703,89
2020-05-07,AL,1867,98
2020-05-08,AL,2033,108
2020-05-09,AL,2172,114
2020-05-10,AL,2258,126
2020-05-11,AL,2343,138
2020-05-12,AL,2580,150
2020-03-15,SE,1,0
2020-03-16,SE,1,0
2020-03-17,SE,4,0
2020-03-18,SE,5,0
2020-03-19,SE,6,0
2020-03-20,SE,6,0
2020-03-21,SE,10,0
2020-03-22,SE,10,0
2020-03-23,SE,10,0
2020-03-24,SE,15,0
2020-03-25,SE,16,0
2020-03-26,SE,16,0
2020-03-27,SE,16,0
2020-03-28,SE,16,0
2020-03-29,SE,16,0
2020-03-30,SE,16,0
2020-03-31,SE,19,0
2020-04-01,SE,20,0
2020-04-02,SE,23,2
2020-04-03,SE,25,2
2020-04-04,SE,27,2
2020-04-05,SE,32,3
2020-04-06,SE,32,4
2020-04-07,SE,36,4
2020-04-08,SE,36,4
2020-04-09,SE,39,4
2020-04-10,SE,42,4
2020-04-11,SE,42,4
2020-04-12,SE,44,4
2020-04-13,SE,44,4
2020-04-14,SE,45,4
2020-04-15,SE,46,4
2020-04-16,SE,48,4
2020-04-17,SE,53,4
2020-04-18,SE,71,5
2020-04-19,SE,83,5
2020-04-20,SE,86,5
2020-04-21,SE,92,5
2020-04-22,SE,117,7
2020-04-23,SE,124,8
2020-04-24,SE,144,8
2020-04-25,SE,153,9
2020-04-26,SE,159,9
2020-04-27,SE,197,10
2020-04-28,SE,280,11
2020-04-29,SE,337,12
2020-04-30,SE,447,12
2020-05-01,SE,517,14
2020-05-02,SE,601,14
2020-05-03,SE,730,14
2020-05-04,SE,772,17
2020-05-05,SE,898,21
